specimen	specimen_name	sample_type	sample_type_supt1
m69n701-s502	0786FOS-AIR	AIR	Operating Room Air
m69n701-s503	1265SPE-AIR	AIR	Operating Room Air
m69n701-s505	3347MCL-AIR	AIR	Operating Room Air
m69n701-s506	3439BOR-AIR	AIR	Operating Room Air
m69n701-s507	3618HER-AIR	AIR	Operating Room Air
m69n701-s508	4133BLU-AIR	AIR	Operating Room Air
m69n701-s510	6659BAD-AIR	AIR	Operating Room Air
m69n701-s511	7991SON-AIR	AIR	Operating Room Air
m69n701-s518	3439BOR-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n701-s520	NTC_m69_3F1	WATER	No Template PCRControl – Water
m69n701-s521	NTC_m69_3G1	WATER	No Template PCRControl – Water
m69n701-s522	NTC_m69_3H1	WATER	No Template PCRControl – Water
m69n702-s502	8088LAN-AIR	AIR	Operating Room Air
m69n702-s503	6780MUR-AIR	AIR	Operating Room Air
m69n702-s505	9458HAM-AIR	AIR	Operating Room Air
m69n702-s506	7474HAS-AIR	AIR	Operating Room Air
m69n702-s507	2995LIB-AIR	AIR	Operating Room Air
m69n702-s508	9051SOU-AIR	AIR	Operating Room Air
m69n702-s510	0002MCQ-AIR	AIR	Operating Room Air
m69n702-s513	NTC_m69_3A2	WATER	No Template PCRControl – Water
m69n702-s516	NTC_m69_3C2	WATER	No Template PCRControl – Water
m69n702-s518	NTC_m69_3E2	WATER	No Template PCRControl – Water
m69n702-s520	NTC_m69_3F2	WATER	No Template PCRControl – Water
m69n702-s521	NTC_m69_3G2	WATER	No Template PCRControl – Water
m69n703-s502	1609HEU-AIR	AIR	Operating Room Air
m69n703-s503	1705MAH-AIR	AIR	Operating Room Air
m69n703-s505	2371PAT-AIR	AIR	Operating Room Air
m69n703-s506	2456CUR-AIR	AIR	Operating Room Air
m69n703-s508	3896PLA-AIR	AIR	Operating Room Air
m69n703-s510	4186LAR-AIR	AIR	Operating Room Air
m69n703-s511	4346ACO-AIR	AIR	Operating Room Air
m69n703-s513	7274ROB-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s515	7887GAR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s516	7887GAR-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s517	7907STE-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s518	7907STE-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s520	7958HOP-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s521	7958HOP-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n703-s522	8312SIM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s502	6015CUT-AIR	AIR	Operating Room Air
m69n704-s503	6144SAU-AIR	AIR	Operating Room Air
m69n704-s505	6408HIG-AIR	AIR	Operating Room Air
m69n704-s506	7476GON-AIR	AIR	Operating Room Air
m69n704-s507	7499ZIC-AIR	AIR	Operating Room Air
m69n704-s508	7745DUN-AIR	AIR	Operating Room Air
m69n704-s510	7839BOH-AIR	AIR	Operating Room Air
m69n704-s511	7877STA-AIR	AIR	Operating Room Air
m69n704-s513	8312SIM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s515	8343WIL-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s516	8343WIL-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s517	9086CAM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s518	9086CAM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s520	9671XAI-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s521	9755MAS-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n704-s522	9770MEY-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s502	8661SAN-AIR	AIR	Operating Room Air
m69n705-s503	8682BER-AIR	AIR	Operating Room Air
m69n705-s505	8896GIL-AIR	AIR	Operating Room Air
m69n705-s506	8972SIB-AIR	AIR	Operating Room Air
m69n705-s507	9027WIL-AIR	AIR	Operating Room Air
m69n705-s508	9087WIL-AIR	AIR	Operating Room Air
m69n705-s513	9770MEY-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s515	9914DAN-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s516	9914DAN-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n705-s517	0182SMA-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s518	0182SMA-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s520	0987SAM-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s521	0987SAM-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n705-s522	1525COO-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s510	NTC_m69_1G6	WATER	No Template PCRControl – Water
m69n706-s513	1525COO-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s515	1856EBB-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s516	1856EBB-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s517	1922BUR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s518	1922BUR-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s520	2759POL-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s521	3548PRO-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n706-s522	3548PRO-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s513	3661AND-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s515	3661AND-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s516	3971BIC-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s517	3971BIC-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s518	4080CHE-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s520	4080CHE-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s521	4870MOR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n707-s522	4870MOR-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s513	5032FER-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s515	5032FER-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s516	6769POW-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s517	7274ROB-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s518	7274ROB-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s520	7887GAR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s521	7887GAR-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n710-s522	8343WIL-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s502	0786FOS-PORT	LP	Laparoscopic Port
m69n711-s503	1109HUN-PORT	LP	Laparoscopic Port
m69n711-s505	3347MCL-PORT	LP	Laparoscopic Port
m69n711-s506	2995LIB-PORT	LP	Laparoscopic Port
m69n711-s507	0354SMI-PORT 1	LP	Laparoscopic Port
m69n711-s508	0354SMI-PORT 2	LP	Laparoscopic Port
m69n711-s513	8343WIL-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s515	9086CAM-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s516	9086CAM-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s517	9664HAM-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s518	9664HAM-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s520	9671XAI-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s521	9755MAS-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n711-s522	9755MAS-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n712-s502	1609HEU-PORT 2	LP	Laparoscopic Port
m69n712-s503	4346ACO-PORT 1	LP	Laparoscopic Port
m69n712-s505	4346ACO-PORT 2	LP	Laparoscopic Port
m69n712-s506	7839BOH-PORT 1	LP	Laparoscopic Port
m69n712-s507	7839BOH-PORT 2	LP	Laparoscopic Port
m69n712-s508	8682BER-PORT 1	LP	Laparoscopic Port
m69n712-s510	DB CTL-14	BUFFER	DNA Extraction Control – Buffer
m69n712-s511	DB CTL-21	BUFFER	DNA Extraction Control – Buffer
m69n712-s513	9770MEY-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n712-s515	9914DAN-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n712-s516	0897MUR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n712-s517	1426WIL-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n712-s518	1426WIL-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n712-s520	1631MCD-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n712-s521	1631MCD-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n712-s522	1758CAD-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s503	NTC_m69_1B11	WATER	No Template PCRControl – Water
m69n714-s505	NTC_m69_1C11	WATER	No Template PCRControl – Water
m69n714-s506	NTC_m69_1D11	WATER	No Template PCRControl – Water
m69n714-s507	NTC_m69_1E11	WATER	No Template PCRControl – Water
m69n714-s511	NTC_m69_1H11	WATER	No Template PCRControl – Water
m69n714-s513	1758CAD-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s515	2995LIB-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s516	2995LIB-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s517	3439BOR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s518	4133BLU-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s520	4133BLU-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s521	5600BAR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n714-s522	5600BAR-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s503	NTC_m69_1B12	WATER	No Template PCRControl – Water
m69n715-s505	NTC_m69_1C12	WATER	No Template PCRControl – Water
m69n715-s511	NTC_m69_1H12	WATER	No Template PCRControl – Water
m69n715-s513	6299BAB-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s515	6299BAB-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s516	6462ROM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s517	6462ROM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s518	7229DAV-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s520	7229DAV-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s521	7455BLA-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n715-s522	7455BLA-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n716-s502	0987SAM-LPG	PG	Paracolic Gutter
m69n716-s503	1525COO-PG	PG	Paracolic Gutter
m69n716-s505	1856EBB-PG	PG	Paracolic Gutter
m69n716-s506	1922BUR-PG	PG	Paracolic Gutter
m69n716-s507	2759POL-LPG	PG	Paracolic Gutter
m69n716-s508	2759POL-RPG	PG	Paracolic Gutter
m69n716-s510	3548PRO-LPG	PG	Paracolic Gutter
m69n716-s511	3661AND-PG	PG	Paracolic Gutter
m69n716-s513	8088LAN-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n716-s515	8631WIL-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n716-s516	8631WIL-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n716-s517	0786FOS-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n716-s518	0786FOS-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n716-s520	1109HUN-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n716-s521	1109HUN-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n716-s522	1265SPE-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s502	3971BIC-PG	PG	Paracolic Gutter
m69n718-s503	4080CHE-PG	PG	Paracolic Gutter
m69n718-s505	6769POW-LPG	PG	Paracolic Gutter
m69n718-s506	6769POW-RPG	PG	Paracolic Gutter
m69n718-s507	7887GAR-RPG	PG	Paracolic Gutter
m69n718-s508	9086CAM-PG	PG	Paracolic Gutter
m69n718-s510	9664HAM-PG	PG	Paracolic Gutter
m69n718-s511	9671XAI-PG	PG	Paracolic Gutter
m69n718-s513	1265SPE-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s515	1292FES-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s516	1292FES-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s517	3347MCL-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s518	3618HER-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s520	3618HER-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s521	6659BAD-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n718-s522	6659BAD-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s502	9755MAS-PG	PG	Paracolic Gutter
m69n719-s503	9914DAN-LPG	PG	Paracolic Gutter
m69n719-s505	9914DAN-RPG	PG	Paracolic Gutter
m69n719-s506	0786FOS-PG	PG	Paracolic Gutter
m69n719-s507	0897MUR-PG	PG	Paracolic Gutter
m69n719-s508	1292FES-PG	PG	Paracolic Gutter
m69n719-s510	1426WIL-PG	PG	Paracolic Gutter
m69n719-s511	2995LIB-PG	PG	Paracolic Gutter
m69n719-s513	6780MUR-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s515	6780MUR-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s516	7474HAS-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s517	7991SON-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s518	7991SON-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s520	8088LAN-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s521	9051SOU-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n719-s522	9051SOU-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n720-s502	3347MCL-PG	PG	Paracolic Gutter
m69n720-s503	3439BOR-PG	PG	Paracolic Gutter
m69n720-s505	3618HER-PG	PG	Paracolic Gutter
m69n720-s506	5600BAR-PG	PG	Paracolic Gutter
m69n720-s507	6299BAB-PG	PG	Paracolic Gutter
m69n720-s508	6462ROM-LPG	PG	Paracolic Gutter
m69n720-s510	6462ROM-RPG	PG	Paracolic Gutter
m69n720-s511	6659BAD-PG	PG	Paracolic Gutter
m69n720-s513	9458HAM-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n720-s515	9458HAM-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n720-s516	0897MUR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n720-s517	1426WIL-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n720-s518	1426WIL-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n720-s520	1631MCD-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n720-s521	1631MCD-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n720-s522	1758CAD-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s502	7229DAV-PG	PG	Paracolic Gutter
m69n721-s503	7455BLA-PG	PG	Paracolic Gutter
m69n721-s505	7474HAS-PG	PG	Paracolic Gutter
m69n721-s506	7991SON-PG	PG	Paracolic Gutter
m69n721-s507	9458HAM-PG	PG	Paracolic Gutter
m69n721-s508	0354SMI-PG	PG	Paracolic Gutter
m69n721-s511	1609HEU-PG	PG	Paracolic Gutter
m69n721-s513	1758CAD-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s515	3439BOR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s516	5600BAR-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s517	5600BAR-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s518	6299BAB-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s520	6299BAB-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s521	6462ROM-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n721-s522	7229DAV-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s503	4346ACO-PG	PG	Paracolic Gutter
m69n722-s505	6015CUT-PG	PG	Paracolic Gutter
m69n722-s506	6144SAU-PG	PG	Paracolic Gutter
m69n722-s507	6408HIG-PG	PG	Paracolic Gutter
m69n722-s508	7476GON-PG	PG	Paracolic Gutter
m69n722-s510	7499ZIC-PG	PG	Paracolic Gutter
m69n722-s511	7745DUN-PG	PG	Paracolic Gutter
m69n722-s513	7229DAV-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s515	7455BLA-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s516	7455BLA-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s517	8631WIL-LOV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s518	8631WIL-ROV	FTO	Fallopian Tube and Ovarian Surface
m69n722-s521	0354SMI-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n722-s522	0354SMI-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n723-s503	7877STA-PG	PG	Paracolic Gutter
m69n723-s505	8661SAN-PG	PG	Paracolic Gutter
m69n723-s506	8896GIL-PG	PG	Paracolic Gutter
m69n723-s507	8972SIB-PG	PG	Paracolic Gutter
m69n723-s508	DB CTL-12	BUFFER	DNA Extraction Control – Buffer
m69n723-s510	DB CTL-19	BUFFER	DNA Extraction Control – Buffer
m69n723-s511	DB CTL-22	BUFFER	DNA Extraction Control – Buffer
m69n723-s516	1609HEU-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n723-s517	1705MAH-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n723-s518	1705MAH-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n723-s520	2371PAT-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s502	NTC_m69_2A8	WATER	No Template PCRControl – Water
m69n724-s503	NTC_m69_2B8	WATER	No Template PCRControl – Water
m69n724-s505	NTC_m69_2C8	WATER	No Template PCRControl – Water
m69n724-s506	NTC_m69_2D8	WATER	No Template PCRControl – Water
m69n724-s507	NTC_m69_2E8	WATER	No Template PCRControl – Water
m69n724-s508	NTC_m69_2F8	WATER	No Template PCRControl – Water
m69n724-s510	DB CTL-24	BUFFER	DNA Extraction Control – Buffer
m69n724-s513	3896PLA-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s515	3896PLA-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s516	4186LAR-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s517	4186LAR-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s518	4346ACO-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s520	4346ACO-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s521	6015CUT-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n724-s522	6015CUT-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s505	DB CTL-10	BUFFER	DNA Extraction Control – Buffer
m69n726-s513	6144SAU-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s515	6144SAU-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s516	7499ZIC-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s517	7499ZIC-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s518	7745DUN-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s520	7745DUN-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s521	7839BOH-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n726-s522	7839BOH-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s502	0182SMA-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s503	0182SMA-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s505	0987SAM-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s506	0987SAM-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s507	1525COO-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s508	1525COO-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s510	1856EBB-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s511	1856EBB-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n727-s513	7877STA-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s515	7877STA-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s516	8661SAN-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s517	8661SAN-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s518	8682BER-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s520	8682BER-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s521	8896GIL-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n727-s522	8896GIL-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s502	1922BUR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s503	1922BUR-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s505	2759POL-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s506	3548PRO-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s507	3548PRO-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s508	3661AND-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s510	3971BIC-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s511	3971BIC-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n728-s513	8972SIB-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s515	8972SIB-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s516	9027WIL-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s517	9027WIL-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s518	9087WIL-LTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s520	9087WIL-RTO	FTO	Fallopian Tube and Ovarian Surface
m69n728-s521	NTC_m69_4G11	WATER	No Template PCRControl – Water
m69n728-s522	NTC_m69_4H11	WATER	No Template PCRControl – Water
m69n729-s502	4080CHE-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s503	4870MOR-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s505	4870MOR-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s506	5032FER-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s507	5032FER-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s508	5279DOZ-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s510	5279DOZ-RFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s511	7274ROB-LFT	FTO	Fallopian Tube and Ovarian Surface
m69n729-s513	NTC_m69_4A12	WATER	No Template PCRControl – Water
m69n729-s515	NTC_m69_4B12	WATER	No Template PCRControl – Water
m69n729-s516	NTC_m69_4C12	WATER	No Template PCRControl – Water
m69n729-s517	NTC_m69_4D12	WATER	No Template PCRControl – Water
m69n729-s518	NTC_m69_4E12	WATER	No Template PCRControl – Water
m69n729-s520	NTC_m69_4F12	WATER	No Template PCRControl – Water
m69n729-s521	NTC_m69_4G12	WATER	No Template PCRControl – Water
m69n729-s522	NTC_m69_4H12	WATER	No Template PCRControl – Water
m80n701-s503	0691SAT-Air	AIR	Operating Room Air
m80n701-s505	0763DER-Air	AIR	Operating Room Air
m80n701-s506	0915MAR-Air	AIR	Operating Room Air
m80n701-s507	1180MCC-Air	AIR	Operating Room Air
m80n701-s508	1394FAS-Air	AIR	Operating Room Air
m80n701-s510	1412HAH-AIR	AIR	Operating Room Air
m80n701-s511	1430ALM-Air	AIR	Operating Room Air
m80n701-s513	0539ROB-Port2	LP	Laparoscopic Port
m80n701-s515	0743BRA-Port1	LP	Laparoscopic Port
m80n701-s516	0743BRA-Port2	LP	Laparoscopic Port
m80n701-s517	1425TEL-Port2	LP	Laparoscopic Port
m80n701-s518	1701CRA-Port1	LP	Laparoscopic Port
m80n701-s520	1701CRA-Port2	LP	Laparoscopic Port
m80n701-s521	2107LON-Port1	LP	Laparoscopic Port
m80n701-s522	2107LON-Port2	LP	Laparoscopic Port
m80n702-s503	2470GIV-Air	AIR	Operating Room Air
m80n702-s506	2744NOB-Air	AIR	Operating Room Air
m80n702-s507	3118CAM-Air	AIR	Operating Room Air
m80n702-s508	3154ALI-Air	AIR	Operating Room Air
m80n702-s510	3154KES-Air	AIR	Operating Room Air
m80n702-s511	3266PUT-Air	AIR	Operating Room Air
m80n702-s513	3158POS-Port1	LP	Laparoscopic Port
m80n702-s515	3158POS-Port2	LP	Laparoscopic Port
m80n702-s516	3450MOR-Port1	LP	Laparoscopic Port
m80n702-s517	3450MOR-Port2	LP	Laparoscopic Port
m80n702-s518	3720STA-Port1	LP	Laparoscopic Port
m80n702-s520	3720STA-Port2	LP	Laparoscopic Port
m80n702-s521	4026ZIM-Port1	LP	Laparoscopic Port
m80n702-s522	4371WAL-Port2	LP	Laparoscopic Port
m80n703-s502	3361PET-Air	AIR	Operating Room Air
m80n703-s505	3614AND-Air	AIR	Operating Room Air
m80n703-s506	4231OSB-Air	AIR	Operating Room Air
m80n703-s507	4375ALC-Air	AIR	Operating Room Air
m80n703-s508	4626CAN-Air	AIR	Operating Room Air
m80n703-s510	4688FOS-Air	AIR	Operating Room Air
m80n703-s511	4726WOL-Air	AIR	Operating Room Air
m80n703-s513	4428ERI-Port1	LP	Laparoscopic Port
m80n703-s515	5472MIL-Port1	LP	Laparoscopic Port
m80n703-s516	5472MIL-Port2	LP	Laparoscopic Port
m80n703-s521	7961BON-Port1	LP	Laparoscopic Port
m80n703-s522	7961BON-Port2	LP	Laparoscopic Port
m80n704-s502	4747RAM-Air	AIR	Operating Room Air
m80n704-s505	4838SHE-Air	AIR	Operating Room Air
m80n704-s506	4859BAL-Air	AIR	Operating Room Air
m80n704-s507	4919HEA-Air	AIR	Operating Room Air
m80n704-s508	4922COL-Air	AIR	Operating Room Air
m80n704-s511	5228SCI-Air	AIR	Operating Room Air
m80n704-s513	7972CHA-Port1	LP	Laparoscopic Port
m80n704-s515	7972CHA-Port2	LP	Laparoscopic Port
m80n704-s516	8568ALK-Port1	LP	Laparoscopic Port
m80n704-s517	8568ALK-Port2	LP	Laparoscopic Port
m80n704-s518	8744CRO-Port1	LP	Laparoscopic Port
m80n704-s520	8744CRO-Port2	LP	Laparoscopic Port
m80n704-s521	8836MOR-Port1	LP	Laparoscopic Port
m80n704-s522	8836MOR-Port2	LP	Laparoscopic Port
m80n705-s502	5255EAR-Air	AIR	Operating Room Air
m80n705-s503	5409ROH-Air	AIR	Operating Room Air
m80n705-s505	5415RUE-Air	AIR	Operating Room Air
m80n705-s506	5558WAT-Air	AIR	Operating Room Air
m80n705-s507	6236GOL-Air	AIR	Operating Room Air
m80n705-s508	6283DUG-Air	AIR	Operating Room Air
m80n705-s510	6536TUE-Air	AIR	Operating Room Air
m80n705-s511	6553STA-Air	AIR	Operating Room Air
m80n705-s515	9013COT-Port1	LP	Laparoscopic Port
m80n705-s516	9013COT-Port2	LP	Laparoscopic Port
m80n705-s517	9796WYN-Port1	LP	Laparoscopic Port
m80n705-s518	9796WYN-Port2	LP	Laparoscopic Port
m80n705-s520	9891SCH-Port1	LP	Laparoscopic Port
m80n705-s521	9891SCH-Port2	LP	Laparoscopic Port
m80n705-s522	DB CTL-47	BUFFER	DNA Extraction Control – Buffer
m80n706-s502	6612NEL-Air	AIR	Operating Room Air
m80n706-s503	6802DAV-Air	AIR	Operating Room Air
