seqid	sample_name	animal	sample_number
m75n722-s505	Animal_04-38	Animal_04	38
m75n722-s506	Animal_04-39	Animal_04	39
m75n722-s507	Animal_04-40	Animal_04	40
m75n722-s510	Animal_04-41	Animal_04	41
m75n722-s511	Animal_04-42	Animal_04	42
m75n723-s502	Animal_03-1	Animal_03	1
m75n723-s503	Animal_03-2	Animal_03	2
m75n723-s505	Animal_03-3	Animal_03	3
m75n723-s506	Animal_03-4	Animal_03	4
m75n723-s507	Animal_03-5	Animal_03	5
m75n723-s508	Animal_03-6	Animal_03	6
m75n723-s511	Animal_03-7	Animal_03	7
m75n724-s502	Animal_03-8	Animal_03	8
m75n724-s503	Animal_03-9	Animal_03	9
m75n724-s505	Animal_03-10	Animal_03	10
m75n724-s506	Animal_03-11	Animal_03	11
m75n724-s507	Animal_03-12	Animal_03	12
m75n724-s508	Animal_03-13	Animal_03	13
m75n724-s510	Animal_03-14	Animal_03	14
m75n726-s502	Animal_03-15	Animal_03	15
m75n726-s503	Animal_03-16	Animal_03	16
m75n726-s505	Animal_03-17	Animal_03	17
m75n726-s506	Animal_03-18	Animal_03	18
m75n726-s507	Animal_03-19	Animal_03	19
m75n726-s510	Animal_03-20	Animal_03	20
m75n726-s511	Animal_03-21	Animal_03	21
m75n727-s502	Animal_03-22	Animal_03	22
m75n727-s503	Animal_03-23	Animal_03	23
m75n727-s505	Animal_03-24	Animal_03	24
m75n727-s506	Animal_03-25	Animal_03	25
m75n727-s508	Animal_03-26	Animal_03	26
m75n727-s510	Animal_03-27	Animal_03	27
m75n727-s511	Animal_03-28	Animal_03	28
m75n728-s502	Animal_03-29	Animal_03	29
m75n728-s503	Animal_03-30	Animal_03	30
m75n728-s506	Animal_03-31	Animal_03	31
m75n728-s507	Animal_03-32	Animal_03	32
m75n728-s508	Animal_03-33	Animal_03	33
m75n728-s510	Animal_03-34	Animal_03	34
m75n728-s511	Animal_03-35	Animal_03	35
m75n729-s503	Animal_03-36	Animal_03	36
m75n729-s505	Animal_03-37	Animal_03	37
m75n729-s506	Animal_03-38	Animal_03	38
m75n729-s507	Animal_03-39	Animal_03	39
m75n729-s508	Animal_03-40	Animal_03	40
m75n729-s510	Animal_03-41	Animal_03	41
m75n729-s511	Animal_03-42	Animal_03	42
